home_club,away_club,home_goals,away_goals,home_yellow_cards,away_yellow_cards,ano
Internacional,Fortaleza,1,0,3,1,2021
São Paulo,Atlético-GO,2,1,1,2,2021
Corinthians,América-MG,1,1,1,0,2021
Flamengo,Grêmio,0,1,3,4,2021
Cuiabá,Fluminense,2,2,2,2,2021
Ceará SC,Chapecoense,1,0,0,3,2021
Corinthians,Palmeiras,2,1,1,1,2021
São Paulo,Atlético-MG,0,0,1,1,2021
América-MG,Flamengo,1,1,1,1,2021
Internacional,Bahia,2,0,2,2,2021
Fluminense,Bragantino,2,1,2,2,2021
Juventude,Santos,3,0,3,0,2021
Sport Recife,Fortaleza,0,1,5,2,2021
Athletico-PR,Grêmio,4,2,1,5,2021
Atlético-GO,Cuiabá,0,0,1,4,2021
Cuiabá,América-MG,0,2,1,2,2021
Fortaleza,Atlético-GO,0,3,1,4,2021
Bragantino,Corinthians,2,2,0,0,2021
Atlético-MG,Internacional,1,0,4,2,2021
Flamengo,Athletico-PR,3,0,2,2,2021
Chapecoense,São Paulo,1,1,1,1,2021
Palmeiras,Juventude,1,1,1,1,2021
Grêmio,Sport Recife,1,2,2,1,2021
Santos,Fluminense,2,0,2,2,2021
Bahia,Ceará SC,1,1,3,2,2021
Corinthians,Bahia,3,1,0,1,2021
Chapecoense,Atlético-MG,2,2,2,1,2021
Atlético-GO,Athletico-PR,0,2,3,3,2021
Sport Recife,Juventude,3,1,2,2,2021
Ceará SC,Internacional,0,0,5,2,2021
Bragantino,Flamengo,1,1,1,3,2021
Fluminense,Fortaleza,0,2,2,2,2021
América-MG,Palmeiras,2,1,2,3,2021
Grêmio,Cuiabá,2,2,2,2,2021
São Paulo,Santos,1,1,2,4,2021
Fluminense,Atlético-GO,0,0,2,2,2021
Atlético-MG,Ceará SC,3,1,1,3,2021
Sport Recife,Corinthians,1,0,3,0,2021
Fortaleza,Flamengo,0,3,0,2,2021
Athletico-PR,Bahia,0,2,1,2,2021
Palmeiras,Bragantino,2,4,1,2,2021
Juventude,América-MG,1,1,6,3,2021
Internacional,Chapecoense,5,2,3,1,2021
Santos,Grêmio,1,0,4,6,2021
Cuiabá,São Paulo,0,0,2,2,2021
Bragantino,Atlético-GO,1,0,2,4,2021
Bahia,Palmeiras,0,0,4,2,2021
Atlético-MG,Santos,3,1,2,7,2021
Chapecoense,Athletico-PR,1,1,4,5,2021
Flamengo,Juventude,3,1,2,3,2021
Fortaleza,Grêmio,1,0,2,2,2021
Corinthians,Fluminense,1,0,1,1,2021
Internacional,América-MG,3,1,1,2,2021
São Paulo,Ceará SC,1,1,3,3,2021
Cuiabá,Sport Recife,1,0,4,0,2021
Chapecoense,Fortaleza,1,2,3,1,2021
América-MG,Bahia,0,0,1,2,2021
Athletico-PR,Fluminense,0,1,2,1,2021
Palmeiras,Internacional,1,0,3,4,2021
Ceará SC,Bragantino,2,2,2,7,2021
Grêmio,Juventude,3,2,1,3,2021
Atlético-GO,Atlético-MG,2,1,1,0,2021
Sport Recife,Santos,0,0,1,3,2021
Flamengo,Cuiabá,0,0,1,1,2021
São Paulo,Corinthians,1,0,3,2,2021
Santos,América-MG,0,2,1,2,2021
Juventude,Ceará SC,0,0,1,2,2021
Fluminense,Flamengo,3,1,6,3,2021
Fortaleza,Athletico-PR,3,0,2,2,2021
Internacional,Corinthians,2,2,3,3,2021
Atlético-MG,Cuiabá,2,1,0,0,2021
Bragantino,São Paulo,1,0,3,0,2021
Bahia,Chapecoense,3,0,1,1,2021
Atlético-GO,Grêmio,2,0,2,7,2021
Palmeiras,Sport Recife,2,1,1,3,2021
Bragantino,Sport Recife,3,0,3,6,2021
Atlético-MG,Juventude,2,0,1,2,2021
Fortaleza,Palmeiras,1,0,3,2,2021
Chapecoense,Grêmio,1,3,1,1,2021
Atlético-GO,Ceará SC,1,1,0,3,2021
Internacional,Flamengo,1,2,2,1,2021
Corinthians,Santos,2,0,1,0,2021
Fluminense,América-MG,2,0,1,2,2021
Bahia,Cuiabá,0,0,1,0,2021
São Paulo,Athletico-PR,0,0,3,2,2021
Athletico-PR,Santos,0,1,1,2,2021
Flamengo,Atlético-MG,1,0,4,2,2021
Juventude,Bahia,0,0,2,1,2021
América-MG,Fortaleza,2,1,0,5,2021
Grêmio,Palmeiras,1,3,5,2,2021
Ceará SC,Fluminense,1,0,4,2,2021
São Paulo,Internacional,1,0,0,2,2021
Sport Recife,Atlético-GO,2,0,4,3,2021
Cuiabá,Bragantino,1,0,2,3,2021
Corinthians,Chapecoense,1,0,1,4,2021
Cuiabá,Chapecoense,0,0,1,1,2021
Grêmio,Fluminense,1,0,3,1,2021
Athletico-PR,Ceará SC,2,1,4,3,2021
Atlético-MG,Corinthians,3,0,2,2,2021
Santos,Bragantino,2,0,2,1,2021
Palmeiras,Atlético-GO,4,0,1,3,2021
Fortaleza,São Paulo,1,1,4,5,2021
Sport Recife,América-MG,2,3,2,3,2021
Juventude,Internacional,2,1,2,4,2021
Flamengo,Bahia,3,0,0,2,2021
Corinthians,Fortaleza,1,0,3,3,2021
Internacional,Grêmio,1,0,1,3,2021
Fluminense,Sport Recife,1,0,1,1,2021
Bragantino,Athletico-PR,0,2,2,3,2021
Atlético-MG,América-MG,1,0,3,2,2021
Santos,Palmeiras,0,2,3,2,2021
Bahia,São Paulo,1,0,1,2,2021
Ceará SC,Cuiabá,1,0,3,1,2021
Chapecoense,Flamengo,2,2,3,3,2021
Atlético-GO,Juventude,1,1,1,2,2021
Atlético-GO,Santos,0,0,2,3,2021
América-MG,Grêmio,3,1,3,1,2021
Bragantino,Fortaleza,3,0,3,4,2021
Internacional,Athletico-PR,2,1,7,3,2021
Corinthians,Cuiabá,3,2,1,1,2021
São Paulo,Flamengo,0,4,1,1,2021
Fluminense,Palmeiras,2,1,4,6,2021
Ceará SC,Sport Recife,2,1,1,2,2021
Chapecoense,Juventude,0,2,3,3,2021
Bahia,Atlético-MG,2,3,2,3,2021
Athletico-PR,Atlético-MG,0,1,1,2,2021
Grêmio,Bragantino,3,0,0,2,2021
América-MG,Atlético-GO,0,0,1,1,2021
Santos,Chapecoense,2,0,1,2,2021
Cuiabá,Internacional,1,0,4,1,2021
Fortaleza,Ceará SC,0,4,1,4,2021
Palmeiras,São Paulo,0,2,1,2,2021
Juventude,Fluminense,1,0,2,1,2021
Flamengo,Corinthians,1,0,1,2,2021
Sport Recife,Bahia,1,0,1,3,2021
Palmeiras,Atlético-MG,2,2,4,3,2021
Fluminense,Internacional,1,0,5,5,2021
Santos,Fortaleza,2,0,3,2,2021
Ceará SC,Corinthians,2,1,3,4,2021
Atlético-GO,Bahia,2,1,5,3,2021
Juventude,Bragantino,1,0,3,3,2021
América-MG,Chapecoense,3,0,2,2,2021
Grêmio,São Paulo,3,0,3,2,2021
Athletico-PR,Cuiabá,1,0,4,6,2021
Sport Recife,Flamengo,1,1,2,3,2021
Bahia,Grêmio,3,1,3,3,2021
Bragantino,América-MG,1,1,3,2,2021
São Paulo,Sport Recife,2,0,0,1,2021
Corinthians,Athletico-PR,1,0,5,3,2021
Atlético-MG,Fluminense,2,1,6,3,2021
Internacional,Santos,1,1,1,2,2021
Flamengo,Ceará SC,2,1,6,1,2021
Cuiabá,Palmeiras,1,3,4,2,2021
Chapecoense,Atlético-GO,0,1,2,3,2021
Fortaleza,Juventude,1,0,2,0,2021
Bahia,Fluminense,2,0,2,5,2021
Corinthians,Grêmio,1,1,1,3,2021
Atlético-MG,Bragantino,4,3,1,2,2021
Ceará SC,América-MG,0,0,0,2,2021
São Paulo,Juventude,3,1,5,3,2021
Athletico-PR,Palmeiras,0,0,1,1,2021
Cuiabá,Fortaleza,1,0,1,3,2021
Internacional,Atlético-GO,1,2,3,2,2021
Flamengo,Santos,0,1,3,3,2021
Chapecoense,Sport Recife,0,1,3,4,2021
Fortaleza,Bahia,2,1,4,2,2021
Atlético-GO,Flamengo,2,0,4,2,2021
Palmeiras,Ceará SC,1,0,2,0,2021
Fluminense,Chapecoense,3,0,3,2,2021
América-MG,São Paulo,2,0,2,2,2021
Bragantino,Internacional,1,0,4,5,2021
Sport Recife,Athletico-PR,1,1,1,1,2021
Juventude,Corinthians,1,0,1,2,2021
Grêmio,Atlético-MG,4,3,3,1,2021
Santos,Cuiabá,1,1,1,2,2021
Fluminense,Santos,0,0,1,0,2022
Atlético-GO,Flamengo,1,1,3,2,2022
Palmeiras,Ceará SC,2,3,4,9,2022
Coritiba,Goiás,3,0,2,4,2022
Botafogo,Corinthians,1,3,1,4,2022
Atlético-MG,Internacional,2,0,2,4,2022
Fortaleza,Cuiabá,0,1,2,3,2022
Avaí,América-MG,1,0,3,3,2022
São Paulo,Athletico-PR,4,0,1,3,2022
Juventude,Bragantino,2,2,4,5,2022
Goiás,Palmeiras,1,1,4,0,2022
América-MG,Juventude,4,1,3,0,2022
Corinthians,Avaí,3,0,1,1,2022
Cuiabá,Fluminense,0,1,2,1,2022
Santos,Coritiba,2,1,2,4,2022
Flamengo,São Paulo,3,1,2,6,2022
Athletico-PR,Atlético-MG,0,1,2,3,2022
Internacional,Fortaleza,2,1,5,5,2022
Bragantino,Atlético-GO,4,0,1,4,2022
Ceará SC,Botafogo,1,3,1,4,2022
Flamengo,Palmeiras,0,0,3,4,2022
Ceará SC,Bragantino,0,1,1,5,2022
América-MG,Athletico-PR,1,0,1,0,2022
Goiás,Atlético-MG,2,2,5,4,2022
Cuiabá,Atlético-GO,1,1,2,0,2022
Botafogo,Juventude,1,1,2,5,2022
Corinthians,Fortaleza,1,0,1,3,2022
Coritiba,Fluminense,3,2,0,3,2022
Internacional,Avaí,0,0,2,4,2022
São Paulo,Santos,2,1,2,4,2022
Bragantino,São Paulo,1,1,5,2,2022
Athletico-PR,Flamengo,1,0,4,2,2022
Palmeiras,Corinthians,3,0,1,2,2022
Fluminense,Internacional,0,1,5,3,2022
Atlético-MG,Coritiba,2,2,2,1,2022
Santos,América-MG,3,0,2,0,2022
Juventude,Cuiabá,0,1,2,4,2022
Atlético-GO,Botafogo,1,1,2,1,2022
Avaí,Goiás,3,2,5,5,2022
Fortaleza,Ceará SC,0,1,5,4,2022
Atlético-MG,América-MG,1,2,4,4,2022
Athletico-PR,Ceará SC,1,0,5,4,2022
Flamengo,Botafogo,0,1,1,3,2022
Palmeiras,Fluminense,1,1,1,2,2022
Atlético-GO,Goiás,0,1,4,3,2022
Bragantino,Corinthians,0,1,1,2,2022
Santos,Cuiabá,4,1,1,2,2022
Juventude,Internacional,1,1,5,5,2022
Fortaleza,São Paulo,1,1,2,3,2022
Avaí,Coritiba,2,1,3,3,2022
Bragantino,Atlético-MG,1,1,3,2,2022
Atlético-GO,Coritiba,2,0,4,1,2022
Flamengo,Goiás,1,0,1,3,2022
Santos,Ceará SC,0,0,1,5,2022
Juventude,Palmeiras,0,3,3,0,2022
Cuiabá,Internacional,1,1,2,7,2022
América-MG,Botafogo,1,1,2,1,2022
Corinthians,São Paulo,1,1,2,3,2022
Fortaleza,Fluminense,0,1,1,1,2022
Athletico-PR,Avaí,2,1,2,6,2022
Palmeiras,Bragantino,2,0,2,2,2022
Ceará SC,Flamengo,2,2,5,5,2022
Internacional,Corinthians,2,2,2,2,2022
Atlético-MG,Atlético-GO,2,0,1,2,2022
Fluminense,Athletico-PR,2,1,3,2,2022
São Paulo,Cuiabá,2,1,2,1,2022
Coritiba,América-MG,1,0,1,5,2022
Botafogo,Fortaleza,3,1,3,1,2022
Avaí,Juventude,1,2,2,5,2022
Goiás,Santos,1,0,0,0,2022
Goiás,Bragantino,1,1,2,3,2022
São Paulo,Ceará SC,2,2,3,5,2022
Fortaleza,Juventude,1,1,2,3,2022
Coritiba,Botafogo,1,0,5,3,2022
Santos,Palmeiras,0,1,5,1,2022
Cuiabá,Athletico-PR,0,1,5,0,2022
Corinthians,América-MG,1,1,2,1,2022
Fluminense,Flamengo,1,2,3,5,2022
Atlético-MG,Avaí,2,1,3,2,2022
Internacional,Atlético-GO,1,1,1,2,2022
América-MG,Cuiabá,2,1,0,1,2022
Athletico-PR,Santos,2,2,5,3,2022
Ceará SC,Coritiba,1,1,1,4,2022
Avaí,São Paulo,1,1,2,2,2022
Atlético-GO,Corinthians,0,1,3,3,2022
Juventude,Fluminense,1,0,3,4,2022
Flamengo,Fortaleza,1,2,3,4,2022
Palmeiras,Atlético-MG,0,0,1,3,2022
Bragantino,Internacional,0,2,3,3,2022
Botafogo,Goiás,1,2,2,2,2022
Cuiabá,Corinthians,1,0,1,2,2022
América-MG,Ceará SC,0,2,2,3,2022
Juventude,Athletico-PR,1,3,2,4,2022
Atlético-GO,Avaí,2,1,1,4,2022
Bragantino,Flamengo,1,0,1,4,2022
Fluminense,Atlético-MG,5,3,3,3,2022
Santos,Internacional,1,1,2,1,2022
Palmeiras,Botafogo,4,0,1,1,2022
Coritiba,São Paulo,1,1,3,3,2022
Fortaleza,Goiás,1,1,1,2,2022
Corinthians,Juventude,2,0,1,4,2022
Atlético-MG,Santos,1,1,4,4,2022
Fluminense,Atlético-GO,0,2,3,2,2022
Cuiabá,Bragantino,1,1,1,3,2022
Internacional,Flamengo,3,1,3,3,2022
Goiás,Ceará SC,1,1,6,2,2022
São Paulo,América-MG,1,0,2,2,2022
Coritiba,Palmeiras,0,2,1,2,2022
Fortaleza,Athletico-PR,0,0,1,3,2022
Botafogo,Avaí,0,1,4,5,2022
Juventude,Santos,1,2,1,2,2022
Ceará SC,Atlético-MG,0,0,2,3,2022
Bragantino,Coritiba,4,2,2,1,2022
Goiás,Internacional,1,2,4,3,2022
Flamengo,Cuiabá,2,0,1,2,2022
Athletico-PR,Corinthians,1,1,2,2,2022
América-MG,Fluminense,0,0,3,1,2022
Botafogo,São Paulo,1,0,6,3,2022
Palmeiras,Atlético-GO,4,2,2,1,2022
Avaí,Fortaleza,3,2,1,3,2022
Cuiabá,Ceará SC,0,0,0,2,2022
Santos,Bragantino,2,2,4,3,2022
Atlético-MG,Flamengo,2,0,4,1,2022
Coritiba,Athletico-PR,0,1,5,6,2022
Corinthians,Goiás,1,0,1,4,2022
Internacional,Botafogo,2,3,5,6,2022
Fortaleza,América-MG,1,0,1,0,2022
Atlético-GO,Juventude,3,1,3,4,2022
Fluminense,Avaí,2,0,0,3,2022
São Paulo,Palmeiras,1,2,3,1,2022
Internacional,Coritiba,3,0,2,4,2022
Athletico-PR,Bragantino,4,2,4,1,2022
Flamengo,América-MG,3,0,1,2,2022
Corinthians,Santos,0,0,3,3,2022
Atlético-MG,Fortaleza,3,2,0,5,2022
Avaí,Palmeiras,2,2,4,1,2022
Botafogo,Fluminense,0,1,3,2,2022
Goiás,Cuiabá,1,0,3,4,2022
Ceará SC,Atlético-GO,1,1,2,2,2022
São Paulo,Juventude,0,0,3,4,2022
Juventude,Atlético-MG,1,2,2,1,2022
Fluminense,Corinthians,4,0,0,3,2022
Santos,Flamengo,1,2,4,2,2022
Ceará SC,Internacional,1,1,4,3,2022
Palmeiras,Athletico-PR,0,2,1,2,2022
Avaí,Cuiabá,1,2,0,0,2022
Atlético-GO,São Paulo,1,2,5,7,2022
América-MG,Goiás,1,0,2,2,2022
Coritiba,Fortaleza,2,1,2,3,2022
Bragantino,Botafogo,0,1,1,4,2022
Bragantino,Avaí,4,0,1,3,2022
Fluminense,Ceará SC,2,1,2,3,2022
Goiás,Athletico-PR,2,1,2,1,2022
Coritiba,Juventude,2,2,1,2,2022
Corinthians,Flamengo,1,0,2,4,2022
Santos,Atlético-GO,1,0,5,4,2022
Fortaleza,Palmeiras,0,0,0,1,2022
Atlético-MG,São Paulo,0,0,1,1,2022
Cuiabá,Botafogo,2,0,1,2,2022
Internacional,América-MG,1,0,0,5,2022
Athletico-PR,Internacional,0,0,1,2,2022
Flamengo,Coritiba,2,0,0,1,2022
Avaí,Santos,1,0,5,3,2022
Ceará SC,Corinthians,3,1,1,1,2022
Juventude,Goiás,0,0,2,3,2022
São Paulo,Fluminense,2,2,4,2,2022
Botafogo,Atlético-MG,0,1,4,3,2022
Atlético-GO,Fortaleza,0,1,1,0,2022
América-MG,Bragantino,0,3,3,1,2022
Palmeiras,Cuiabá,1,0,3,1,2022
Ceará SC,Avaí,1,0,0,2,2022
Bragantino,Fortaleza,2,1,4,3,2022
Goiás,Fluminense,2,3,2,0,2022
Athletico-PR,Atlético-GO,4,1,3,0,2022
Flamengo,Juventude,4,0,3,3,2022
Internacional,São Paulo,3,3,4,5,2022
Santos,Botafogo,2,0,2,2,2022
Corinthians,Coritiba,3,1,1,3,2022
Cuiabá,Atlético-MG,1,1,1,1,2022
América-MG,Palmeiras,0,1,5,3,2022
São Paulo,Goiás,3,3,2,5,2022
Botafogo,Athletico-PR,2,0,0,2,2022
Avaí,Flamengo,1,2,1,1,2022
Fluminense,Bragantino,2,1,5,2,2022
Palmeiras,Internacional,2,1,0,1,2022
Juventude,Ceará SC,1,0,1,3,2022
Atlético-MG,Corinthians,1,2,2,1,2022
Atlético-GO,América-MG,0,1,0,1,2022
Fortaleza,Santos,0,0,4,4,2022
Coritiba,Cuiabá,1,0,5,3,2022
Goiás,Coritiba,1,0,1,2,2022
Ceará SC,Palmeiras,1,2,3,3,2022
Corinthians,Botafogo,1,0,0,0,2022
Flamengo,Atlético-GO,4,1,0,7,2022
Athletico-PR,São Paulo,1,0,3,4,2022
Internacional,Atlético-MG,3,0,1,1,2022
Cuiabá,Fortaleza,0,1,2,4,2022
América-MG,Avaí,3,1,1,0,2022
Bragantino,Juventude,1,0,1,1,2022
Santos,Fluminense,2,2,2,5,2022
Juventude,América-MG,0,1,1,2,2022
Botafogo,Ceará SC,1,1,3,4,2022
Avaí,Corinthians,1,1,2,1,2022
Atlético-GO,Bragantino,2,1,2,1,2022
São Paulo,Flamengo,0,2,2,2,2022
Fluminense,Cuiabá,1,0,2,1,2022
Palmeiras,Goiás,3,0,2,3,2022
Fortaleza,Internacional,3,0,1,5,2022
Atlético-MG,Athletico-PR,2,3,1,2,2022
Coritiba,Santos,1,2,3,3,2022
Goiás,Avaí,1,1,1,2,2022
Corinthians,Palmeiras,0,1,2,2,2022
Cuiabá,Juventude,1,0,4,5,2022
Botafogo,Atlético-GO,0,0,1,3,2022
Coritiba,Atlético-MG,0,1,3,0,2022
Ceará SC,Fortaleza,0,1,3,4,2022
Flamengo,Athletico-PR,5,0,3,2,2022
São Paulo,Bragantino,3,0,1,0,2022
América-MG,Santos,1,0,1,0,2022
Internacional,Fluminense,3,0,1,1,2022
Atlético-MG,Goiás,0,1,0,0,2022
Fluminense,Coritiba,5,2,1,2,2022
Juventude,Botafogo,2,2,2,2,2022
Palmeiras,Flamengo,1,1,0,2,2022
Athletico-PR,América-MG,1,1,0,0,2022
Atlético-GO,Cuiabá,1,1,2,2,2022
Fortaleza,Corinthians,1,0,1,2,2022
Bragantino,Ceará SC,1,1,3,4,2022
Santos,São Paulo,1,0,4,2,2022
Avaí,Internacional,0,1,5,1,2022
Goiás,Atlético-GO,2,1,2,2,2022
Coritiba,Avaí,1,0,4,3,2022
Fluminense,Palmeiras,1,1,3,3,2022
Ceará SC,Athletico-PR,0,0,0,1,2022
São Paulo,Fortaleza,0,1,2,2,2022
América-MG,Atlético-MG,1,1,4,4,2022
Botafogo,Flamengo,0,1,3,2,2022
Cuiabá,Santos,0,0,0,0,2022
Internacional,Juventude,4,0,0,3,2022
Corinthians,Bragantino,1,0,1,1,2022
Juventude,Avaí,1,1,6,6,2022
Bragantino,Palmeiras,2,2,4,4,2022
Athletico-PR,Fluminense,1,0,2,0,2022
América-MG,Coritiba,2,0,2,3,2022
Flamengo,Ceará SC,1,1,4,6,2022
Corinthians,Internacional,2,2,2,2,2022
Fortaleza,Botafogo,1,3,1,2,2022
Atlético-GO,Atlético-MG,0,2,1,2,2022
Cuiabá,São Paulo,1,1,3,2,2022
Santos,Goiás,1,2,1,2,2022
Atlético-MG,Bragantino,1,1,1,2,2022
Internacional,Cuiabá,1,0,1,3,2022
Ceará SC,Santos,2,1,4,3,2022
Fluminense,Fortaleza,2,1,1,2,2022
Palmeiras,Juventude,2,1,0,3,2022
Avaí,Athletico-PR,1,1,3,4,2022
Botafogo,América-MG,0,0,1,5,2022
São Paulo,Corinthians,1,1,3,1,2022
Coritiba,Atlético-GO,2,0,6,3,2022
Goiás,Flamengo,1,1,3,1,2022
Avaí,Atlético-MG,1,0,4,3,2022
Botafogo,Coritiba,2,0,2,4,2022
Bragantino,Goiás,1,1,0,5,2022
Flamengo,Fluminense,1,2,1,5,2022
Ceará SC,São Paulo,0,2,5,2,2022
América-MG,Corinthians,1,0,1,3,2022
Juventude,Fortaleza,1,1,2,3,2022
Palmeiras,Santos,1,0,3,4,2022
Athletico-PR,Cuiabá,2,2,3,2,2022
Atlético-GO,Internacional,1,2,3,2,2022
São Paulo,Avaí,4,0,2,4,2022
Santos,Athletico-PR,2,0,3,3,2022
Coritiba,Ceará SC,1,0,2,4,2022
Corinthians,Atlético-GO,2,1,0,3,2022
Fluminense,Juventude,4,0,1,1,2022
Fortaleza,Flamengo,3,2,2,5,2022
Cuiabá,América-MG,2,1,1,6,2022
Internacional,Bragantino,0,0,1,2,2022
Atlético-MG,Palmeiras,0,1,3,3,2022
Goiás,Botafogo,0,1,4,4,2022
Atlético-MG,Fluminense,2,0,2,3,2022
Internacional,Santos,1,0,1,4,2022
Ceará SC,América-MG,1,2,3,4,2022
Avaí,Atlético-GO,1,2,2,4,2022
Athletico-PR,Juventude,2,0,3,5,2022
Flamengo,Bragantino,4,1,1,0,2022
Goiás,Fortaleza,0,1,3,2,2022
Corinthians,Cuiabá,2,0,1,0,2022
Botafogo,Palmeiras,1,3,4,2,2022
São Paulo,Coritiba,3,1,2,6,2022
Juventude,Corinthians,2,2,1,2,2022
Atlético-GO,Fluminense,3,2,4,0,2022
Ceará SC,Goiás,1,1,4,4,2022
Bragantino,Cuiabá,2,1,2,3,2022
Athletico-PR,Fortaleza,1,1,2,1,2022
Flamengo,Internacional,0,0,3,2,2022
Santos,Atlético-MG,1,2,2,4,2022
Palmeiras,Coritiba,4,0,1,2,2022
América-MG,São Paulo,1,2,2,4,2022
Avaí,Botafogo,1,2,2,4,2022
Cuiabá,Flamengo,1,2,2,2,2022
Corinthians,Athletico-PR,2,1,1,0,2022
Internacional,Goiás,4,2,1,7,2022
São Paulo,Botafogo,0,1,3,2,2022
Fortaleza,Avaí,2,0,1,1,2022
Coritiba,Bragantino,2,1,0,3,2022
Atlético-MG,Ceará SC,0,0,3,5,2022
Fluminense,América-MG,0,2,1,3,2022
Atlético-GO,Palmeiras,1,1,4,2,2022
Santos,Juventude,4,1,2,0,2022
Flamengo,Atlético-MG,1,0,4,0,2022
América-MG,Fortaleza,1,2,1,3,2022
Ceará SC,Cuiabá,1,1,4,5,2022
Palmeiras,São Paulo,0,0,3,3,2022
Juventude,Atlético-GO,1,1,2,1,2022
Botafogo,Internacional,0,1,3,5,2022
Avaí,Fluminense,0,3,2,0,2022
Athletico-PR,Coritiba,1,0,3,2,2022
Bragantino,Santos,0,2,3,4,2022
Goiás,Corinthians,0,0,2,3,2022
Bragantino,Athletico-PR,4,2,0,3,2022
América-MG,Flamengo,1,2,1,1,2022
Santos,Corinthians,0,1,2,4,2022
Palmeiras,Avaí,3,0,2,2,2022
Fluminense,Botafogo,2,2,3,2,2022
Juventude,São Paulo,1,2,2,2,2022
Coritiba,Internacional,1,1,3,1,2022
Atlético-GO,Ceará SC,1,0,3,2,2022
Cuiabá,Goiás,1,2,3,4,2022
Fortaleza,Atlético-MG,0,0,4,1,2022
Flamengo,Santos,3,2,3,4,2022
Athletico-PR,Palmeiras,1,3,3,5,2022
Botafogo,Bragantino,2,1,1,4,2022
Corinthians,Fluminense,0,2,2,3,2022
Internacional,Ceará SC,2,1,0,2,2022
Goiás,América-MG,2,2,2,3,2022
Fortaleza,Coritiba,3,1,1,1,2022
São Paulo,Atlético-GO,2,1,2,4,2022
Atlético-MG,Juventude,1,0,2,1,2022
Cuiabá,Avaí,1,0,1,1,2022
Ceará SC,Fluminense,0,1,2,2,2022
Botafogo,Cuiabá,0,2,1,1,2022
São Paulo,Atlético-MG,2,2,3,5,2022
Athletico-PR,Goiás,3,2,2,1,2022
América-MG,Internacional,1,0,0,0,2022
Juventude,Coritiba,0,1,3,4,2022
Avaí,Bragantino,1,2,2,1,2022
Atlético-GO,Santos,2,3,3,2,2022
Palmeiras,Fortaleza,4,0,3,1,2022
Flamengo,Corinthians,1,2,0,1,2022
Santos,Avaí,1,1,3,0,2022
Fluminense,São Paulo,3,1,1,1,2022
Bragantino,América-MG,1,4,6,2,2022
Goiás,Juventude,1,0,4,6,2022
Corinthians,Ceará SC,1,0,4,4,2022
Internacional,Athletico-PR,2,0,0,1,2022
Fortaleza,Atlético-GO,1,1,2,5,2022
Coritiba,Flamengo,1,0,5,3,2022
Cuiabá,Palmeiras,1,1,2,0,2022
Atlético-MG,Botafogo,0,2,2,5,2022
São Paulo,Internacional,0,1,4,5,2022
Coritiba,Corinthians,2,2,4,5,2022
Fluminense,Goiás,3,0,3,2,2022
Avaí,Ceará SC,2,0,4,5,2022
Fortaleza,Bragantino,6,0,1,4,2022
Juventude,Flamengo,2,2,7,3,2022
Palmeiras,América-MG,2,1,4,2,2022
Atlético-GO,Athletico-PR,1,1,1,0,2022
Botafogo,Santos,3,0,2,4,2022
Atlético-MG,Cuiabá,3,0,1,4,2022
Flamengo,Avaí,1,2,0,1,2022
Athletico-PR,Botafogo,3,0,1,1,2022
Ceará SC,Juventude,4,1,4,4,2022
América-MG,Atlético-GO,1,1,3,2,2022
Santos,Fortaleza,0,2,1,3,2022
Cuiabá,Coritiba,2,1,1,4,2022
Bragantino,Fluminense,0,1,3,2,2022
Corinthians,Atlético-MG,0,1,3,6,2022
Internacional,Palmeiras,3,0,2,3,2022
Goiás,São Paulo,0,4,2,1,2022
